itemA,itemB,co_purchase_count
Cucumber (Hybrid)-kg,Garlic China Big-(kg),2
Cucumber (Hybrid)-kg,Ginger Barmiz-(Kg),2
Cucumber (Hybrid)-kg,Mug Pulse (Sona)-1kg,2
Cucumber (Hybrid)-kg,Orange (China) Net-kg,2
Cucumber (Hybrid)-kg,Prince Lacha Samai-200g(Pkt),2
Cucumber (Hybrid)-kg,Radhuni Tehari Masala-45g,2
Cucumber (Hybrid)-kg,Shrimp Fish Bagda,2
Cucumber Deshi (kg),Katol Fish Big,2
Cumin-200gm,Pabda Fish (Small) (HB),2
Cumin-200gm,Tatkini Fish River(HB),2
D Korean Ramen 3X Spicy Noodles-248gm,Tang orange Flavoured Instant Drink Powder 75gm,2
D Korean Ramen 3X Spicy Noodles-248gm,Vermicelli Samai-200gm,2
Danish Dry Cake Biscuits-350gm,Poa Fish Small-(Deshi),2
Deshi Paratha-1600g(Mega Family Pack),Musur Pulse Kangaroo -1Kg (sp),2
Dettol Cool Soap -125gm,Milk Vita (Ghee)-200g,2
Dhakna,Jafran,2
Diamond Foil Paper-200/60 SQ,Mug Pulse (Sona)-1kg,2
Diploma Milk Powder-500g,Teer Fortified Soyabean Oil 3Ltr,2
Diploma Milk Powder-500g,Wheel 2in1 Clean & Fresh Powder-1Kg,2
Doodles Stick Noodles-300gm,Prince Tanduri chick. Noodles-180gm,2
Dragon Fruits (B),Pomegranate (Mitulla)-B,2
Easy Mix Roast Masala-35g,Pomegranate (Mitulla)-B,2
Easy Mix Roast Masala-35g,Vermicelli Samai-200gm,2
F Clarks Ess 28ml(Vanilla),Maggi Vegetable Soup 4Pcs-25gm,2
Farm Fresh Butter-200gm Box (50X4pcs),Wheel 2in1 Clean & Fresh Powder-1Kg,2
First Choice Salted Biscuits-180g,Prince Ovaltin Cake(B),2
Foli Fish,Usta(kg),2
Freedom Heavy Flow Wings-16pads,Prince Dubli Pulse-1kg,2
Fresh Atta-2kg,Fresh Lexus Cracers-204 gm {B2G1},2
Fresh Atta-2kg,Snack Guard (Chichinga)-kg,2
Fresh Atta-2kg,Vim Liquid Dish Wash-500ml,2
Fresh Facial Tissue 120p-240Sheet,Vim Bar 300g (Lemon),2
Fresh Hand Towel- 250Pcs,Onion Deshi(New)-kg,2
Fresh Ins. Noodles Masala (B2G1)-496gm,Radhuni Garam Masala-40gm,2
Fresh Lexus Cracers-204 gm {B2G1},Snack Guard (Chichinga)-kg,2
Fresh Lexus Cracers-204 gm {B2G1},Vermicelli Samai-200gm,2
Fresh Paper Napkin 100pcs,Wheel 2in1 Clean & Fresh Powder-1Kg,2
Fresh Refined Sugar-1000gm,Fresh Toilet Value Pack 4 Pcs,2
Fresh Refined Sugar-1000gm,Musur Pulse Kangaroo -1Kg (sp),2
Fresh Refined Sugar-1000gm,Tomato L.C(kg),2
Fresh Toilet Value Pack 4 Pcs,Lux Velvent Glow Jasmine Soap-100gm,2
Fresh Toilet Value Pack 4 Pcs,Mr.Energy Biscuits-85gm,2
Fresh Toilet Value Pack 4 Pcs,Rin Advanced-1000gm,2
Fresh Toilet Value Pack 4 Pcs,Teer Atta 2kg,2
Fresh Toilet Value Pack 4 Pcs,Vim Bar 300g (Lemon),2
Fruit Jam(Morobba)-200g,Tomato L.C(kg),2
Fun Crack- 50g,Parboil (Potol)-kg,2
Funtastic Ore Cream Biscuit-43gm,Funtastic Ore Cream Pineapple,2
Funtastic Ore Cream Biscuit-43gm,Muslim Jhinuk-200g,2
G H Deshi Paratha(Family pack)-1300gm,Vim Bar Lemon-125gm,2
G H. Premium Deshi Paratha-1300gm,Net Pumpkin (Jali Kumra)-Pc,2
Garlic China Big-(kg),Golden Raising-100gm(Kismis),2
Garlic China Big-(kg),Green Papaya(kg),2
Garlic China Big-(kg),Mola Fish (THR),2
Garlic China Big-(kg),Onion LC New,2
